epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.97304,1.97342,2.95098,1.78395,0.14376,0.52966,0.17612,0.08882,1.70541,4.02535,1.37746,0.0002,0.0002,0.0802
2,17.5224,1.5582,1.90992,1.48299,0.60216,0.46057,0.49768,0.25993,1.78945,2.41358,1.64419,0.000405941,0.000405941,0.0594059
3,24.8723,1.52696,1.64004,1.47595,0.44941,0.55,0.29766,0.1342,1.88188,4.51193,1.71314,0.000607724,0.000607724,0.0386077
4,32.1877,1.52436,1.52352,1.46485,0.21582,0.67917,0.35634,0.17373,1.74728,3.2524,1.57663,0.000805349,0.000805349,0.0178053
5,40.6344,1.48813,1.54298,1.42754,0.35615,0.59583,0.41351,0.21531,1.72902,3.66624,1.56174,0.0009604,0.0009604,0.0009604
6,49.7131,1.4862,1.46726,1.42188,0.43622,0.69167,0.42259,0.2151,1.82992,3.11784,1.72495,0.0009505,0.0009505,0.0009505
7,58.8018,1.48557,1.4048,1.45556,0.71659,0.7295,0.70928,0.37276,1.53338,1.62052,1.47214,0.0009406,0.0009406,0.0009406
8,73.4695,1.50219,1.37714,1.43408,0.67597,0.6776,0.70353,0.38683,1.65522,1.48869,1.54452,0.0009307,0.0009307,0.0009307
9,87.4882,1.49781,1.28668,1.43343,0.61722,0.81635,0.70991,0.41489,1.49238,1.27297,1.4193,0.0009208,0.0009208,0.0009208
10,94.8208,1.46174,1.2849,1.41037,0.66102,0.6626,0.66893,0.35844,1.50114,1.49702,1.39182,0.0009109,0.0009109,0.0009109
11,102.126,1.42015,1.22118,1.40702,0.56204,0.83145,0.77589,0.41703,1.52409,1.23263,1.4261,0.000901,0.000901,0.000901
12,109.451,1.43867,1.19878,1.41157,0.61851,0.81393,0.62518,0.31166,1.81531,1.59503,1.56792,0.0008911,0.0008911,0.0008911
13,116.746,1.41692,1.19748,1.38228,0.56955,0.85,0.70741,0.38647,1.63436,1.32672,1.52309,0.0008812,0.0008812,0.0008812
14,124.112,1.41696,1.17168,1.37904,0.61648,0.878,0.83402,0.47431,1.57039,1.05738,1.45633,0.0008713,0.0008713,0.0008713
